image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/tobi_1616418768.jpg,MASK,172,25,328,248,259,144,360,141
mask/tobi_1616418740.jpg,MASK,221,122,263,183,299,260,363,256
mask/tobi_1616418754.jpg,MASK,307,39,304,233,415,148,502,157
mask/tobi_1616418608.jpg,MASK,154,80,331,248,214,222,311,226
mask/tobi_1616418620.jpg,MASK,233,112,242,189,339,227,395,220
mask/tobi_1616418621.jpg,MASK,235,114,220,188,300,195,366,192
mask/tobi_1616418609.jpg,MASK,128,76,336,257,172,224,263,221
mask/tobi_1616418755.jpg,MASK,243,39,342,245,346,195,439,189
mask/tobi_1616418741.jpg,MASK,214,119,264,196,284,256,357,252
mask/tobi_1616418757.jpg,MASK,221,22,369,251,278,193,383,193
mask/tobi_1616418780.jpg,MASK,189,40,341,292,343,170,436,173
mask/tobi_1616418623.jpg,MASK,227,114,288,193,264,262,336,271
mask/tobi_1616418622.jpg,MASK,248,116,217,168,283,200,350,200
mask/tobi_1616418752.jpg,MASK,183,71,306,240,220,200,312,176
mask/tobi_1616418626.jpg,MASK,234,122,266,199,351,268,409,250
mask/tobi_1616418627.jpg,MASK,225,119,245,198,338,237,395,228
mask/tobi_1616418625.jpg,MASK,224,120,281,202,340,282,405,264
mask/tobi_1616418619.jpg,MASK,238,122,233,191,343,219,408,219
mask/tobi_1616418618.jpg,MASK,230,114,255,181,309,232,384,228
mask/tobi_1616418624.jpg,MASK,230,116,301,190,284,286,361,284
mask/tobi_1616418778.jpg,MASK,168,19,397,275,303,205,412,198
mask/tobi_1616418750.jpg,MASK,205,78,282,230,244,188,336,167
mask/tobi_1616418723.jpg,MASK,270,127,201,166,344,192,405,215
mask/tobi_1616418737.jpg,MASK,223,118,233,175,266,217,336,212
mask/tobi_1616418694.jpg,MASK,258,124,254,176,323,257,390,258
mask/tobi_1616418695.jpg,MASK,259,126,256,175,303,256,373,259
mask/tobi_1616418736.jpg,MASK,221,118,269,181,255,258,327,260
mask/tobi_1616418722.jpg,MASK,279,112,241,181,357,213,411,249
mask/tobi_1616418734.jpg,MASK,209,119,252,214,290,231,364,225
mask/tobi_1616418720.jpg,MASK,213,118,245,195,307,243,371,224
mask/tobi_1616418697.jpg,MASK,247,117,262,188,329,219,395,217
mask/tobi_1616418696.jpg,MASK,243,119,251,197,282,230,351,232
mask/tobi_1616418721.jpg,MASK,245,114,259,199,311,223,379,244
mask/tobi_1616418735.jpg,MASK,217,102,289,197,294,263,367,257
mask/tobi_1616418709.jpg,MASK,199,101,298,210,301,239,376,243
mask/tobi_1616418731.jpg,MASK,217,112,257,185,309,235,376,222
mask/tobi_1616418725.jpg,MASK,206,118,252,187,240,246,314,236
mask/tobi_1616418692.jpg,MASK,262,116,249,174,282,227,351,224
mask/tobi_1616418693.jpg,MASK,254,121,245,173,320,242,390,235
mask/tobi_1616418718.jpg,MASK,188,112,241,199,255,199,331,199
mask/tobi_1616418724.jpg,MASK,205,117,234,185,239,227,308,213
mask/tobi_1616418730.jpg,MASK,228,128,230,175,299,213,372,212
mask/tobi_1616418726.jpg,MASK,217,118,254,186,313,251,376,240
mask/tobi_1616418732.jpg,MASK,224,121,240,173,297,250,365,245
mask/tobi_1616418691.jpg,MASK,270,129,199,167,309,209,378,215
mask/tobi_1616418690.jpg,MASK,255,118,257,191,357,239,415,233
mask/tobi_1616418733.jpg,MASK,219,115,268,187,259,249,332,248
mask/tobi_1616418727.jpg,MASK,215,115,285,191,265,270,338,265
mask/tobi_1616418702.jpg,MASK,251,118,254,180,297,230,374,231
mask/tobi_1616418716.jpg,MASK,172,102,344,219,227,285,310,288
mask/tobi_1616418689.jpg,MASK,250,107,286,183,326,252,401,246
mask/tobi_1616418688.jpg,MASK,263,123,256,182,320,233,395,233
mask/tobi_1616418717.jpg,MASK,182,102,268,202,230,214,310,212
mask/tobi_1616418703.jpg,MASK,266,105,257,182,361,221,422,220
mask/tobi_1616418729.jpg,MASK,224,112,244,183,270,215,343,211
mask/tobi_1616418715.jpg,MASK,178,108,306,211,275,267,358,261
mask/tobi_1616418701.jpg,MASK,254,120,274,183,300,265,376,265
mask/tobi_1616418714.jpg,MASK,169,98,275,216,282,230,354,224
mask/tobi_1616418728.jpg,MASK,207,109,271,203,246,237,316,240
mask/tobi_1616418710.jpg,MASK,194,102,258,207,255,200,342,203
mask/tobi_1616418704.jpg,MASK,339,104,292,200,443,234,518,240
mask/tobi_1616418738.jpg,MASK,222,113,260,181,304,237,371,229
mask/tobi_1616418705.jpg,MASK,119,109,289,214,170,240,255,234
mask/tobi_1616418711.jpg,MASK,135,97,287,240,245,237,181,229
mask/tobi_1616418707.jpg,MASK,165,109,327,236,298,310,370,292
mask/tobi_1616418713.jpg,MASK,184,111,274,198,252,233,326,229
mask/tobi_1616418698.jpg,MASK,253,123,237,189,356,227,417,219
mask/tobi_1616418699.jpg,MASK,256,114,270,193,361,257,421,249
mask/tobi_1616418712.jpg,MASK,160,100,285,224,202,233,275,233
