image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/Aderemi_1616416380.jpg,MASK,176,86,0,0,221,191,330,201
mask/Aderemi_1616416343.jpg,MASK,228,110,0,0,341,230,415,245
mask/Aderemi_1616416357.jpg,MASK,222,148,0,0,297,198,373,225
mask/Aderemi_1616416356.jpg,MASK,208,141,0,0,304,199,378,217
mask/Aderemi_1616416342.jpg,MASK,234,114,0,0,336,215,336,215
mask/Aderemi_1616416395.jpg,MASK,360,103,0,0,420,159,494,214
mask/Aderemi_1616416381.jpg,MASK,238,110,0,0,300,216,408,231
mask/Aderemi_1616416397.jpg,MASK,381,97,0,0,436,162,523,221
mask/Aderemi_1616416383.jpg,MASK,224,132,0,0,292,244,410,257
mask/Aderemi_1616416354.jpg,MASK,240,140,0,0,391,230,421,232
mask/Aderemi_1616416340.jpg,MASK,276,122,0,0,368,216,437,239
mask/Aderemi_1616416368.jpg,MASK,231,82,0,0,295,250,419,264
mask/Aderemi_1616416341.jpg,MASK,253,114,0,0,347,222,422,241
mask/Aderemi_1616416355.jpg,MASK,241,136,0,0,316,207,392,222
mask/Aderemi_1616416396.jpg,MASK,373,100,0,0,438,167,518,221
mask/Aderemi_1616416392.jpg,MASK,252,94,0,0,308,171,404,186
mask/Aderemi_1616416379.jpg,MASK,137,70,0,0,191,204,296,205
mask/Aderemi_1616416351.jpg,MASK,277,124,0,0,385,225,435,231
mask/Aderemi_1616416344.jpg,MASK,241,127,0,0,311,219,394,238
mask/Aderemi_1616416350.jpg,MASK,272,127,0,0,391,237,433,246
mask/Aderemi_1616416378.jpg,MASK,159,76,0,0,193,207,288,201
mask/Aderemi_1616416393.jpg,MASK,268,110,0,0,332,180,422,200
mask/Aderemi_1616416385.jpg,MASK,202,180,0,0,288,352,404,348
mask/Aderemi_1616416391.jpg,MASK,227,88,0,0,289,201,399,207
mask/Aderemi_1616416408.jpg,MASK,214,83,0,0,271,213,380,248
mask/Aderemi_1616416346.jpg,MASK,188,101,0,0,235,221,343,232
mask/Aderemi_1616416352.jpg,MASK,261,128,0,0,375,232,423,230
mask/Aderemi_1616416353.jpg,MASK,272,149,0,0,372,222,424,231
mask/Aderemi_1616416347.jpg,MASK,178,108,0,0,222,222,327,222
mask/Aderemi_1616416384.jpg,MASK,212,150,0,0,307,303,422,311
mask/Aderemi_1616416334.jpg,MASK,251,93,0,0,294,183,384,225
mask/Aderemi_1616416268.jpg,MASK,265,190,0,0,342,302,423,308
mask/Aderemi_1616416296.jpg,MASK,237,139,0,0,299,251,402,261
mask/Aderemi_1616416309.jpg,MASK,192,140,0,0,273,263,368,271
mask/Aderemi_1616416335.jpg,MASK,228,102,0,0,298,210,392,237
mask/Aderemi_1616416337.jpg,MASK,166,96,0,0,197,205,274,220
mask/Aderemi_1616416294.jpg,MASK,221,137,0,0,300,249,399,259
mask/Aderemi_1616416295.jpg,MASK,212,145,0,0,293,254,420,261
mask/Aderemi_1616416336.jpg,MASK,192,112,0,0,261,259,367,284
mask/Aderemi_1616416332.jpg,MASK,203,97,0,0,271,200,373,216
mask/Aderemi_1616416291.jpg,MASK,226,133,0,0,293,252,393,257
mask/Aderemi_1616416284.jpg,MASK,207,142,0,0,284,252,391,262
mask/Aderemi_1616416333.jpg,MASK,231,89,0,0,270,193,358,226
mask/Aderemi_1616416469.jpg,MASK,221,106,0,0,332,225,428,234
mask/Aderemi_1616416292.jpg,MASK,231,128,0,0,298,247,397,262
mask/Aderemi_1616416286.jpg,MASK,216,144,0,0,286,253,393,263
mask/Aderemi_1616416287.jpg,MASK,219,139,0,0,289,253,390,258
mask/Aderemi_1616416301.jpg,MASK,218,125,0,0,285,269,386,259
mask/Aderemi_1616416467.jpg,MASK,194,97,0,0,301,237,408,240
mask/Aderemi_1616416261.jpg,MASK,255,171,0,0,331,274,427,281
mask/Aderemi_1616416300.jpg,MASK,233,126,0,0,311,247,416,235
mask/Aderemi_1616416466.jpg,MASK,204,102,0,0,257,250,376,258
mask/Aderemi_1616416464.jpg,MASK,211,100,0,0,285,228,394,242
mask/Aderemi_1616416302.jpg,MASK,189,132,0,0,288,271,389,250
mask/Aderemi_1616416289.jpg,MASK,220,126,0,0,284,240,386,262
mask/Aderemi_1616416262.jpg,MASK,244,174,0,0,334,277,431,283
mask/Aderemi_1616416263.jpg,MASK,236,165,0,0,341,272,440,283
mask/Aderemi_1616416465.jpg,MASK,198,105,0,0,259,246,376,257
mask/Aderemi_1616416303.jpg,MASK,218,137,0,0,290,264,397,260
mask/Aderemi_1616416471.jpg,MASK,200,122,0,0,334,238,418,239
mask/Aderemi_1616416475.jpg,MASK,215,121,0,0,286,234,388,255
mask/Aderemi_1616416307.jpg,MASK,188,143,0,0,290,257,376,272
mask/Aderemi_1616416461.jpg,MASK,209,129,0,0,276,273,396,284
mask/Aderemi_1616416298.jpg,MASK,222,136,0,0,296,249,392,262
mask/Aderemi_1616416267.jpg,MASK,288,168,0,0,350,270,439,283
mask/Aderemi_1616416266.jpg,MASK,283,170,0,0,348,269,442,293
mask/Aderemi_1616416474.jpg,MASK,212,123,0,0,276,239,381,247
mask/Aderemi_1616416338.jpg,MASK,201,97,0,0,229,181,310,183
mask/Aderemi_1616416462.jpg,MASK,197,124,0,0,272,274,384,270
mask/Aderemi_1616416304.jpg,MASK,220,123,0,0,293,262,392,251
mask/Aderemi_1616416310.jpg,MASK,161,143,0,0,266,245,362,267
mask/Aderemi_1616416270.jpg,MASK,254,197,0,0,341,284,423,294
mask/Aderemi_1616416264.jpg,MASK,272,139,0,0,368,240,471,254
mask/Aderemi_1616416265.jpg,MASK,228,147,0,0,279,264,387,274
mask/Aderemi_1616416259.jpg,MASK,244,172,0,0,341,287,429,286
mask/Aderemi_1616416311.jpg,MASK,170,131,0,0,274,265,363,267
mask/Aderemi_1616416477.jpg,MASK,227,116,0,0,283,232,383,258
mask/Aderemi_1616416463.jpg,MASK,217,117,0,0,294,209,395,227
mask/Aderemi_1616416305.jpg,MASK,222,128,0,0,282,263,388,253
mask/Aderemi_1616416339.jpg,MASK,203,81,0,0,251,178,334,187
mask/Aderemi_1616416389.jpg,MASK,230,91,0,0,297,183,416,212
mask/Aderemi_1616416404.jpg,MASK,160,80,0,0,251,203,359,210
mask/Aderemi_1616416362.jpg,MASK,183,142,0,0,321,324,471,338
mask/Aderemi_1616416376.jpg,MASK,148,85,0,0,207,201,304,207
mask/Aderemi_1616416377.jpg,MASK,124,75,0,0,196,197,290,208
mask/Aderemi_1616416405.jpg,MASK,193,84,0,0,267,217,375,244
mask/Aderemi_1616416348.jpg,MASK,170,98,0,0,220,222,319,216
mask/Aderemi_1616416406.jpg,MASK,199,84,0,0,270,215,379,246
mask/Aderemi_1616416374.jpg,MASK,108,85,0,0,194,201,297,205
mask/Aderemi_1616416358.jpg,MASK,149,140,0,0,238,233,331,246
mask/Aderemi_1616416370.jpg,MASK,168,74,0,0,276,247,381,256
mask/Aderemi_1616416402.jpg,MASK,139,98,0,0,230,220,337,216
mask/Aderemi_1616416364.jpg,MASK,199,67,0,0,316,186,441,201
mask/Aderemi_1616416365.jpg,MASK,245,38,0,0,339,113,444,135
mask/Aderemi_1616416359.jpg,MASK,166,123,0,0,253,247,336,261
mask/Aderemi_1616416401.jpg,MASK,107,103,0,0,230,235,320,210
mask/Aderemi_1616416373.jpg,MASK,144,64,0,0,183,182,271,187
mask/Aderemi_1616416366.jpg,MASK,245,59,0,0,334,128,444,145
mask/Aderemi_1616416400.jpg,MASK,106,129,0,0,271,184,304,181
no_mask/Aderemi_1616415845.jpg,NO_MASK,276,111,0,0,396,247,469,268
