image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/agnese_1616422904.jpg,MASK,180,208,268,227,265,318,363,339
mask/agnese_1616422919.jpg,MASK,218,210,257,233,288,337,381,308
mask/agnese_1616422938.jpg,MASK,300,242,212,209,379,307,457,340
mask/agnese_1616422945.jpg,MASK,250,194,273,254,337,294,442,294
mask/agnese_1616422950.jpg,MASK,171,267,210,248,246,371,330,316
mask/agnese_1616422970.jpg,MASK,259,331,146,179,313,402,383,391
mask/agnese_1616422984.jpg,MASK,370,252,222,164,466,321,490,324
mask/agnese_1616422988.jpg,MASK,331,281,192,167,392,336,463,344
mask/agnese_1616422989.jpg,MASK,297,285,185,178,349,342,424,344
mask/agnese_1616422992.jpg,MASK,256,284,190,191,315,347,386,350
mask/agnese_1616422994.jpg,MASK,272,278,197,175,329,333,402,336
mask/agnese_1616422995.jpg,MASK,277,305,168,203,344,362,418,366
mask/agnese_1616422999.jpg,MASK,165,318,157,189,230,377,298,384
mask/agnese_1616423057.jpg,MASK,210,192,283,319,316,280,439,275
mask/agnese_1616423059.jpg,MASK,226,188,286,310,319,267,438,265
mask/agnese_1616423064.jpg,MASK,121,208,265,249,161,290,252,276
mask/agnese_1616423089.jpg,MASK,206,249,228,236,269,322,361,325
mask/agnese_1616423092.jpg,MASK,214,235,240,230,297,297,383,298
mask/agnese_1616423100.jpg,MASK,233,230,248,219,310,293,405,294
mask/agnese_1616423104.jpg,MASK,240,229,241,218,315,298,407,301
mask/agnese_1616423114.jpg,MASK,258,231,244,203,327,299,416,324
mask/agnese_1616423119.jpg,MASK,177,259,210,210,231,338,315,304
mask/agnese_1616423132.jpg,MASK,157,272,205,170,206,342,282,352
mask/agnese_1616423168.jpg,MASK,311,271,204,174,350,327,431,314
mask/agnese_1616423175.jpg,MASK,342,236,230,215,423,289,510,307
mask/agnese_1616423202.jpg,MASK,93,292,180,183,149,343,235,351
mask/agnese_1616423207.jpg,MASK,79,251,225,212,159,345,240,301
mask/agnese_1616423238.jpg,MASK,173,291,176,220,235,336,322,335
mask/agnese_1616423242.jpg,MASK,175,286,189,232,285,370,359,323
mask/agnese_1616423245.jpg,MASK,301,264,214,223,392,312,475,351
mask/agnese_1616423248.jpg,MASK,10,240,232,197,38,302,121,316
mask/agnese_1616423265.jpg,MASK,295,251,207,201,359,309,445,310
mask/agnese_1616423273.jpg,MASK,245,188,277,241,321,260,432,271
mask/agnese_1616423285.jpg,MASK,45,282,194,242,125,397,198,330
mask/agnese_1616423310.jpg,MASK,263,284,187,218,339,353,417,345
mask/agnese_1616423316.jpg,MASK,212,211,239,251,284,283,391,257
mask/agnese_1616423325.jpg,MASK,142,328,144,157,169,393,229,390
mask/agnese_1616423330.jpg,MASK,235,296,176,175,259,361,277,361
mask/agnese_1616423335.jpg,MASK,358,282,191,145,443,341,484,355
mask/agnese_1616423338.jpg,MASK,269,307,164,212,330,356,421,355
mask/agnese_1616423355.jpg,MASK,224,322,145,187,292,376,366,381
mask/agnese_1616423380.jpg,MASK,285,328,148,188,336,406,413,401
mask/agnese_1616423388.jpg,MASK,172,139,279,326,282,260,414,226
mask/agnese_1616423396.jpg,MASK,185,56,373,435,307,211,525,204
mask/agnese_1616423464.jpg,MASK,279,256,194,261,367,349,462,343
mask/agnese_1616423475.jpg,MASK,199,283,179,181,242,355,313,341
mask/agnese_1616423479.jpg,MASK,465,268,205,176,572,349,636,356
mask/agnese_1616423500.jpg,MASK,286,227,236,262,354,335,470,315
mask/agnese_1616423509.jpg,MASK,359,160,300,268,440,256,577,254
mask/agnese_1616423520.jpg,MASK,135,219,228,224,199,314,284,271
mask/agnese_1616423591.jpg,MASK,121,293,178,253,221,396,300,345
mask/agnese_1616423593.jpg,MASK,147,320,154,247,235,420,318,370
mask/agnese_1616423598.jpg,MASK,377,230,218,206,457,314,537,316
mask/agnese_1616423601.jpg,MASK,277,271,199,235,354,346,457,336
mask/agnese_1616423608.jpg,MASK,324,243,227,213,386,308,472,298
no_mask/agnese_1616420726.jpg,NO_MASK,295,265,191,171,339,320,406,311
no_mask/agnese_1616420788.jpg,NO_MASK,318,288,175,211,380,382,478,375
no_mask/agnese_1616420824.jpg,NO_MASK,6,257,216,215,49,359,146,341
no_mask/agnese_1616420857.jpg,NO_MASK,331,197,252,216,389,267,489,260
no_mask/agnese_1616420912.jpg,NO_MASK,306,238,212,182,358,289,435,306
no_mask/agnese_1616420959.jpg,NO_MASK,315,234,241,192,363,304,444,284
no_mask/agnese_1616420985.jpg,NO_MASK,433,272,203,186,490,325,573,316
no_mask/agnese_1616421020.jpg,NO_MASK,350,139,309,216,412,214,519,207
no_mask/agnese_1616421083.jpg,NO_MASK,387,253,223,164,439,316,514,315
no_mask/agnese_1616421153.jpg,NO_MASK,334,137,254,183,381,207,469,205
no_mask/agnese_1616421193.jpg,NO_MASK,368,311,158,199,422,375,522,406
no_mask/agnese_1616421242.jpg,NO_MASK,207,261,198,190,250,328,315,322
no_mask/agnese_1616421257.jpg,NO_MASK,311,203,247,204,381,280,461,280
no_mask/agnese_1616421308.jpg,NO_MASK,325,280,189,205,396,331,484,340
no_mask/agnese_1616421319.jpg,NO_MASK,468,300,172,168,529,372,631,408
no_mask/agnese_1616421442.jpg,NO_MASK,328,243,229,177,380,332,457,325
no_mask/agnese_1616421468.jpg,NO_MASK,36,224,233,182,90,296,158,302
no_mask/agnese_1616421480.jpg,NO_MASK,295,291,182,203,357,343,452,347
no_mask/agnese_1616421505.jpg,NO_MASK,301,336,138,140,353,399,404,407
no_mask/agnese_1616421520.jpg,NO_MASK,319,210,226,211,377,261,484,262
no_mask/agnese_1616421529.jpg,NO_MASK,291,323,145,165,356,372,415,373
no_mask/agnese_1616421545.jpg,NO_MASK,397,327,143,233,469,394,591,425
no_mask/agnese_1616421563.jpg,NO_MASK,196,270,196,172,234,334,308,324
no_mask/agnese_1616421639.jpg,NO_MASK,301,174,274,221,380,245,471,236
no_mask/agnese_1616421800.jpg,NO_MASK,316,92,216,212,371,143,482,135
no_mask/agnese_1616421874.jpg,NO_MASK,194,57,247,272,269,118,400,87
no_mask/agnese_1616421920.jpg,NO_MASK,354,303,171,187,409,369,504,348
no_mask/agnese_1616421946.jpg,NO_MASK,313,223,247,181,370,287,456,304
no_mask/agnese_1616422087.jpg,NO_MASK,301,221,231,195,355,270,452,272
no_mask/agnese_1616422487.jpg,NO_MASK,248,298,172,154,276,367,324,354
no_mask/agnese_1616422496.jpg,NO_MASK,389,337,137,206,472,390,548,445
no_mask/agnese_1616422510.jpg,NO_MASK,329,354,118,222,386,443,494,449
no_mask/agnese_1616422524.jpg,NO_MASK,55,342,133,168,103,396,166,399
no_mask/agnese_1616422577.jpg,NO_MASK,202,307,165,210,412,472,271,378
no_mask/agnese_1616424077.jpg,NO_MASK,246,192,194,217,310,263,414,253
no_mask/agnese_1616424105.jpg,NO_MASK,204,206,255,204,256,265,358,261
no_mask/agnese_1616424124.jpg,NO_MASK,179,175,277,208,247,249,346,243
no_mask/agnese_1616424221.jpg,NO_MASK,230,200,257,193,293,277,381,276
no_mask/agnese_1616424272.jpg,NO_MASK,180,341,132,205,235,413,339,406
no_mask/agnese_1616424390.jpg,NO_MASK,385,202,252,236,487,285,591,348
no_mask/agnese_1616424411.jpg,NO_MASK,314,228,247,221,374,299,489,303
no_mask/agnese_1616424412.jpg,NO_MASK,310,216,255,232,373,296,483,301
no_mask/agnese_1616424479.jpg,NO_MASK,225,253,216,224,303,335,399,323
no_mask/agnese_1616424489.jpg,NO_MASK,94,287,175,221,166,382,224,324
no_mask/agnese_1616424613.jpg,NO_MASK,145,179,271,285,218,268,328,227
no_mask/agnese_1616424632.jpg,NO_MASK,179,174,287,274,252,269,376,223
no_mask/agnese_1616424667.jpg,NO_MASK,285,184,280,222,343,273,456,282
no_mask/agnese_1616424678.jpg,NO_MASK,278,219,241,212,368,309,441,260
no_mask/agnese_1616424701.jpg,NO_MASK,415,108,290,186,505,166,522,158
no_mask/agnese_1616424724.jpg,NO_MASK,232,130,263,211,284,244,382,237
no_mask/agnese_1616425053.jpg,NO_MASK,117,230,222,199,172,317,254,298
no_mask/agnese_1616425089.jpg,NO_MASK,233,185,254,182,282,264,375,258
no_mask/agnese_1616425105.jpg,NO_MASK,196,178,240,185,238,254,327,254
no_mask/agnese_1616425345.jpg,NO_MASK,175,172,266,211,234,243,330,246
no_mask/agnese_1616425367.jpg,NO_MASK,190,163,249,243,266,255,372,247
bad_mask/agnese_1616427503.jpg,BAD_MASK,306,167,247,191,372,241,460,244
bad_mask/agnese_1616427514.jpg,BAD_MASK,388,171,281,176,483,251,515,251
bad_mask/agnese_1616427540.jpg,BAD_MASK,278,203,230,171,344,262,416,291
bad_mask/agnese_1616427576.jpg,BAD_MASK,247,200,223,218,319,267,416,276
bad_mask/agnese_1616427652.jpg,BAD_MASK,395,243,211,139,470,301,493,303
bad_mask/agnese_1616427676.jpg,BAD_MASK,237,214,224,216,303,283,387,286
bad_mask/agnese_1616427705.jpg,BAD_MASK,245,242,229,211,318,320,399,315
bad_mask/agnese_1616427735.jpg,BAD_MASK,226,270,194,200,289,336,373,318
bad_mask/agnese_1616427825.jpg,BAD_MASK,228,203,258,197,294,282,375,282
bad_mask/agnese_1616427857.jpg,BAD_MASK,242,235,214,176,304,289,378,296
bad_mask/agnese_1616427869.jpg,BAD_MASK,166,243,226,196,226,326,282,290
bad_mask/agnese_1616427892.jpg,BAD_MASK,218,225,233,165,271,286,333,278
bad_mask/agnese_1616427915.jpg,BAD_MASK,279,244,223,175,334,304,406,302
bad_mask/agnese_1616427921.jpg,BAD_MASK,287,144,299,224,345,233,459,234
bad_mask/agnese_1616427925.jpg,BAD_MASK,138,197,268,194,193,282,269,293
bad_mask/agnese_1616427928.jpg,BAD_MASK,288,238,219,158,348,301,406,310
bad_mask/agnese_1616427936.jpg,BAD_MASK,81,256,222,288,155,335,281,310
bad_mask/agnese_1616427939.jpg,BAD_MASK,97,249,216,280,167,341,289,319
bad_mask/agnese_1616428083.jpg,BAD_MASK,55,42,355,270,119,132,236,143
bad_mask/agnese_1616428090.jpg,BAD_MASK,307,0,280,202,365,50,461,84
bad_mask/agnese_1616428122.jpg,BAD_MASK,290,146,237,221,360,244,445,242
bad_mask/agnese_1616428131.jpg,BAD_MASK,301,183,271,197,362,260,456,278
bad_mask/agnese_1616428228.jpg,BAD_MASK,234,267,201,209,287,333,379,320
bad_mask/agnese_1616428234.jpg,BAD_MASK,266,204,267,195,319,285,413,282
bad_mask/agnese_1616428256.jpg,BAD_MASK,210,239,225,198,272,309,354,295
