image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/good_cap (14).jpg,MASK,40,10,464,597,221,208,431,172
mask/good_cap (2).jpg,MASK,56,27,452,562,220,192,471,200
mask/good_cap (38).jpg,MASK,24,9,445,563,217,166,464,183
mask/good_cap (41).jpg,MASK,58,16,450,540,183,205,412,194
mask/good_cap (52).jpg,MASK,145,81,373,352,292,282,402,277
mask/good_cap (58).jpg,MASK,147,139,298,268,248,302,309,268
mask/good_cap (64).jpg,MASK,184,173,294,243,286,321,330,305
mask/good_cap (76).jpg,MASK,246,157,292,169,295,279,351,302
mask/good_cap (80).jpg,MASK,186,178,268,208,261,319,341,322
mask/good_cap (87).jpg,MASK,192,166,270,249,361,274,404,293
mask/good_glasses (30).jpg,MASK,226,223,242,186,286,360,345,356
mask/good_glasses (38).jpg,MASK,229,177,265,221,330,309,385,318
mask/good_glasses (42).jpg,MASK,220,189,280,207,274,311,336,300
mask/good_glasses (58).jpg,MASK,203,184,275,227,293,317,339,320
mask/good_glasses (9).jpg,MASK,38,12,439,473,238,174,400,185
mask/good_hat (16).jpg,MASK,233,146,328,343,365,280,425,304
mask/good_hat (4).jpg,MASK,204,142,311,260,376,295,419,300
mask/good_hat (9).jpg,MASK,155,60,382,354,243,240,334,230
mask/good_hoodie (16).jpg,MASK,62,9,469,573,225,220,430,173
mask/good_hoodie (17).jpg,MASK,61,8,453,524,224,173,450,179
mask/good_hoodie (33).jpg,MASK,54,20,442,571,225,192,463,168
mask/good_hoodie (44).jpg,MASK,152,182,279,333,274,335,334,335
mask/good_hoodie (45).jpg,MASK,155,155,311,289,253,333,315,312
mask/good_hoodie (61).jpg,MASK,178,99,370,322,312,242,374,281
mask/good_hoodie (63).jpg,MASK,159,78,377,318,302,206,389,256
mask/good_hoodie (69).jpg,MASK,152,99,384,292,253,316,334,334
mask/good_hoodie (72).jpg,MASK,175,171,274,241,274,278,341,286
mask/good_hoodie (79).jpg,MASK,224,209,267,241,301,388,383,382
mask/good_norm (100).jpg,MASK,207,105,336,242,280,306,341,307
mask/good_norm (16).jpg,MASK,45,10,458,525,212,192,416,197
mask/good_norm (22).jpg,MASK,7,0,479,549,182,192,419,194
mask/good_norm (58).jpg,MASK,301,225,254,193,368,359,427,359
mask/good_norm (6).jpg,MASK,31,11,458,578,204,185,417,195
mask/good_norm (60).jpg,MASK,255,223,211,188,305,319,355,319
mask/good_norm (9).jpg,MASK,75,21,450,494,225,182,421,195
mask/good_norm (91).jpg,MASK,185,141,321,269,225,335,274,337
mask/good_norm1 (15).jpg,MASK,13,16,429,453,217,165,368,208
mask/good_norm2 (38).jpg,MASK,205,209,255,209,284,335,357,339
mask/good_norm2 (73).jpg,MASK,152,140,332,232,256,327,208,329
mask/good_norm2 (82).jpg,MASK,255,42,329,231,334,202,390,179
mask/good_roommate (30).jpg,MASK,108,148,219,177,168,258,233,256
mask/good_roommate (38).jpg,MASK,239,114,234,199,304,236,358,232
mask/good_roommate (41).jpg,MASK,447,132,204,139,470,240,512,247
mask/good_roommate (49).jpg,MASK,371,155,182,163,476,246,506,242
mask/good_roommate (52).jpg,MASK,288,200,128,114,349,255,385,268
mask/good_roommate (55).jpg,MASK,308,207,179,159,382,283,421,283
mask/good_roommate (60).jpg,MASK,206,168,211,160,270,261,313,279
mask/good_sunglasses (12).jpg,MASK,141,139,318,291,251,283,331,278
mask/good_sunglasses (2).jpg,MASK,203,126,310,244,294,275,382,276
mask/good_sunglasses (9).jpg,MASK,193,125,311,244,316,286,240,273
mask/good_topdown (47).jpg,MASK,298,111,212,161,379,194,424,196
mask/good_topdown (48).jpg,MASK,348,86,158,114,394,157,436,162
mask/good_topdown (50).jpg,MASK,332,100,111,94,364,148,391,148
mask/good_topdown (54).jpg,MASK,274,105,129,113,317,169,339,167
mask/good_topdown (89).jpg,MASK,330,152,179,150,392,249,430,251
mask/good_topdown (92).jpg,MASK,378,95,236,135,440,215,487,218
no_mask/no_cap (35).jpg,NO_MASK,218,120,318,228,302,285,374,287
no_mask/no_cap (52).jpg,NO_MASK,261,139,314,233,383,317,428,318
no_mask/no_cap (57).jpg,NO_MASK,224,149,309,224,298,311,369,301
no_mask/no_capglasses (43).jpg,NO_MASK,168,138,258,219,246,271,289,270
no_mask/no_capglasses (57).jpg,NO_MASK,214,33,403,238,276,253,381,257
no_mask/no_capglasses (79).jpg,NO_MASK,275,198,236,173,343,306,398,317
no_mask/no_hat (37).jpg,NO_MASK,246,207,219,186,293,317,341,318
no_mask/no_hat (39).jpg,NO_MASK,208,183,244,241,342,312,384,316
no_mask/no_hat (48).jpg,NO_MASK,239,200,237,210,322,298,379,301
no_mask/no_hat (70).jpg,NO_MASK,221,50,330,251,360,196,424,234
no_mask/no_hat2 (45).jpg,NO_MASK,206,134,296,227,300,291,352,288
no_mask/no_hat2 (51).jpg,NO_MASK,134,144,301,277,210,313,239,309
no_mask/no_hoodie (41).jpg,NO_MASK,234,177,261,236,352,306,395,314
no_mask/no_hoodie (48).jpg,NO_MASK,240,107,301,198,308,242,361,243
no_mask/no_hoodie (50).jpg,NO_MASK,229,125,303,209,303,259,367,266
no_mask/no_hoodie (54).jpg,NO_MASK,223,135,322,217,309,315,375,308
no_mask/no_hoodie (60).jpg,NO_MASK,223,122,273,186,303,251,364,259
no_mask/no_hoodie (62).jpg,NO_MASK,148,169,272,261,272,301,334,311
no_mask/no_hoodie (67).jpg,NO_MASK,245,178,242,200,322,307,369,305
no_mask/no_hoodie (73).jpg,NO_MASK,226,179,253,197,290,295,342,315
no_mask/no_hoodie (74).jpg,NO_MASK,226,155,271,212,309,269,370,286
no_mask/no_hoodie (75).jpg,NO_MASK,157,142,302,273,293,316,355,325
no_mask/no_norm (33).jpg,NO_MASK,213,108,335,247,330,273,395,289
no_mask/no_norm (40).jpg,NO_MASK,166,69,314,263,258,225,350,236
no_mask/no_norm (45).jpg,NO_MASK,169,59,335,267,259,226,301,222
no_mask/no_norm (46).jpg,NO_MASK,204,132,247,204,263,255,295,250
no_mask/no_norm (56).jpg,NO_MASK,178,64,304,296,306,207,376,210
no_mask/no_norm2 (24).jpg,NO_MASK,175,114,327,243,224,280,279,279
no_mask/no_norm2 (31).jpg,NO_MASK,260,98,295,302,419,240,458,271
no_mask/no_norm2 (36).jpg,NO_MASK,250,97,286,180,313,242,376,238
no_mask/no_outside (24).jpg,NO_MASK,197,121,286,216,268,256,341,256
no_mask/no_outside (39).jpg,NO_MASK,241,9,274,206,314,133,374,133
no_mask/no_outside (42).jpg,NO_MASK,24,192,229,192,105,283,164,292
no_mask/no_outside (44).jpg,NO_MASK,475,217,217,175,534,306,589,319
no_mask/no_roommate (54).jpg,NO_MASK,241,71,285,204,302,176,373,166
no_mask/no_roommate (57).jpg,NO_MASK,202,137,260,220,287,273,361,258
no_mask/no_roommate (59).jpg,NO_MASK,242,135,295,249,345,292,431,295
no_mask/no_roommate (64).jpg,NO_MASK,230,167,287,213,313,273,371,268
no_mask/no_roommate (76).jpg,NO_MASK,232,208,247,221,340,325,412,318
no_mask/no_roommate (81).jpg,NO_MASK,277,217,264,215,374,351,443,370
no_mask/no_roommate (88).jpg,NO_MASK,264,227,230,182,305,321,349,322
no_mask/no_roommate2 (33).jpg,NO_MASK,268,156,210,204,368,246,426,235
no_mask/no_roommate2 (44).jpg,NO_MASK,279,172,236,173,332,280,361,279
no_mask/no_shaved (38).jpg,NO_MASK,247,132,268,206,315,233,386,240
no_mask/no_shaved (39).jpg,NO_MASK,254,154,268,187,320,258,379,247
no_mask/no_shaved (40).jpg,NO_MASK,255,177,241,168,315,285,392,283
no_mask/no_shaved (41).jpg,NO_MASK,237,194,259,215,327,299,395,301
no_mask/no_shaved (48).jpg,NO_MASK,269,200,250,188,328,301,391,308
no_mask/no_shaved (49).jpg,NO_MASK,280,208,235,193,337,314,395,317
no_mask/no_shaved (50).jpg,NO_MASK,264,211,242,190,313,332,367,324
no_mask/no_sunglasses (35).jpg,NO_MASK,255,175,261,228,347,310,408,312
no_mask/no_sunglasses (38).jpg,NO_MASK,175,127,333,269,283,327,363,324
no_mask/no_sunglasses (47).jpg,NO_MASK,203,107,339,259,295,311,386,310
no_mask/no_sunglasses (54).jpg,NO_MASK,158,55,327,271,208,224,280,217
no_mask/no_sunglasses (61).jpg,NO_MASK,232,124,332,247,382,333,428,326
no_mask/no_topdown (12).jpg,NO_MASK,309,31,141,131,362,96,386,96
no_mask/no_topdown (13).jpg,NO_MASK,349,5,80,71,373,22,387,20
no_mask/no_topdown (16).jpg,NO_MASK,298,91,-91,92,347,25,370,22
no_mask/no_topdown (17).jpg,NO_MASK,339,6,73,72,361,28,381,27
no_mask/no_topdown (20).jpg,NO_MASK,304,172,-121,103,345,111,371,106
no_mask/no_topdown (23).jpg,NO_MASK,389,29,231,175,460,126,519,133
bad_mask/bad_cap (13).jpg,BAD_MASK,64,61,383,361,216,269,311,253
bad_mask/bad_cap (22).jpg,BAD_MASK,197,162,270,239,277,304,339,303
bad_mask/bad_cap (24).jpg,BAD_MASK,207,111,319,249,349,275,394,270
bad_mask/bad_cap (25).jpg,BAD_MASK,208,129,322,256,331,270,385,268
bad_mask/bad_cap (3).jpg,BAD_MASK,12,11,463,552,215,175,427,190
bad_mask/bad_cap (35).jpg,BAD_MASK,232,115,239,186,303,206,370,218
bad_mask/bad_cap (37).jpg,BAD_MASK,227,133,286,216,311,278,374,281
bad_mask/bad_cap (4).jpg,BAD_MASK,85,27,446,529,210,175,409,157
bad_mask/bad_cap (5).jpg,BAD_MASK,165,125,286,288,308,241,367,250
