image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/Charles_1616424131.jpg,MASK,158,14,336,294,237,191,359,171
mask/Charles_1616424319.jpg,MASK,99,10,439,383,192,208,298,184
mask/Charles_1616423660.jpg,MASK,266,59,406,333,440,207,538,229
mask/Charles_1616424133.jpg,MASK,193,21,313,222,304,168,379,170
mask/Charles_1616424132.jpg,MASK,171,12,345,253,248,177,351,165
mask/Charles_1616423649.jpg,MASK,251,59,393,260,323,231,451,248
mask/Charles_1616424318.jpg,MASK,205,0,457,331,303,210,440,206
mask/Charles_1616424320.jpg,MASK,73,30,394,366,174,230,267,181
mask/Charles_1616423659.jpg,MASK,227,44,399,294,322,201,461,213
mask/Charles_1616423664.jpg,MASK,231,42,419,301,344,251,468,259
mask/Charles_1616424137.jpg,MASK,347,105,291,229,437,255,516,282
mask/Charles_1616424321.jpg,MASK,94,21,361,344,181,206,280,137
mask/Charles_1616424135.jpg,MASK,244,57,252,202,344,169,410,200
mask/Charles_1616424134.jpg,MASK,169,15,316,220,227,164,319,168
mask/Charles_1616423760.jpg,MASK,167,66,342,257,218,220,311,215
mask/Charles_1616423589.jpg,MASK,307,46,360,293,434,163,539,198
mask/Charles_1616423576.jpg,MASK,271,90,345,255,331,252,441,246
mask/Charles_1616424153.jpg,MASK,200,40,386,292,343,238,436,236
mask/Charles_1616424147.jpg,MASK,239,30,388,274,384,206,475,218
mask/Charles_1616423629.jpg,MASK,225,49,407,277,301,239,432,239
mask/Charles_1616423588.jpg,MASK,235,26,435,339,353,204,487,211
mask/Charles_1616423788.jpg,MASK,203,70,317,270,312,213,402,214
mask/Charles_1616423763.jpg,MASK,153,72,340,282,214,214,310,206
mask/Charles_1616423777.jpg,MASK,198,67,331,263,283,203,381,206
mask/Charles_1616423575.jpg,MASK,308,87,382,289,465,268,555,267
mask/Charles_1616424144.jpg,MASK,171,30,335,214,238,184,326,191
mask/Charles_1616424151.jpg,MASK,215,56,381,273,333,282,436,282
mask/Charles_1616423574.jpg,MASK,305,78,369,263,419,241,520,259
mask/Charles_1616423776.jpg,MASK,185,59,362,298,286,209,375,199
mask/Charles_1616423789.jpg,MASK,140,76,310,287,197,206,282,167
mask/Charles_1616423772.jpg,MASK,189,57,324,243,250,195,359,197
mask/Charles_1616423558.jpg,MASK,295,80,368,260,378,254,478,259
mask/Charles_1616424141.jpg,MASK,172,42,341,258,254,216,351,237
mask/Charles_1616424155.jpg,MASK,139,9,369,321,270,187,355,176
mask/Charles_1616424154.jpg,MASK,194,33,332,273,317,220,407,191
mask/Charles_1616424140.jpg,MASK,51,10,324,280,160,178,250,160
mask/Charles_1616423759.jpg,MASK,189,62,311,286,298,179,401,180
mask/Charles_1616423771.jpg,MASK,193,56,311,300,326,153,416,167
mask/Charles_1616423598.jpg,MASK,588,468,0,0,444,260,549,268
mask/Charles_1616423567.jpg,MASK,286,75,333,241,348,213,448,218
mask/Charles_1616424156.jpg,MASK,205,23,327,250,334,152,417,178
mask/Charles_1616424142.jpg,MASK,199,29,335,240,317,194,403,199
mask/Charles_1616424143.jpg,MASK,138,10,298,251,232,154,313,156
mask/Charles_1616423572.jpg,MASK,361,71,367,274,482,209,570,255
mask/Charles_1616423599.jpg,MASK,198,29,428,321,279,194,380,194
mask/Charles_1616423764.jpg,MASK,196,53,359,280,333,201,419,201
mask/Charles_1616423758.jpg,MASK,198,54,322,281,310,204,407,202
mask/Charles_1616423769.jpg,MASK,202,56,303,254,282,160,282,160
mask/Charles_1616423594.jpg,MASK,209,22,418,310,266,187,378,189
mask/Charles_1616423580.jpg,MASK,236,72,375,300,295,263,402,266
mask/Charles_1616423621.jpg,MASK,280,63,414,347,459,268,589,282
mask/Charles_1616423634.jpg,MASK,216,42,409,294,270,232,393,233
mask/Charles_1616423620.jpg,MASK,204,42,419,341,331,259,444,231
mask/Charles_1616423581.jpg,MASK,257,67,386,299,371,261,485,255
mask/Charles_1616423595.jpg,MASK,227,37,420,303,339,206,467,209
mask/Charles_1616423768.jpg,MASK,185,65,350,267,221,198,321,192
mask/Charles_1616423795.jpg,MASK,188,18,386,286,273,175,382,174
mask/Charles_1616423583.jpg,MASK,256,64,360,277,323,247,439,250
mask/Charles_1616423597.jpg,MASK,247,31,442,343,392,219,518,230
mask/Charles_1616423636.jpg,MASK,208,43,412,298,278,253,400,257
mask/Charles_1616423622.jpg,MASK,149,48,215,114,205,260,337,265
mask/Charles_1616423623.jpg,MASK,86,34,435,363,162,264,329,272
mask/Charles_1616423637.jpg,MASK,224,39,431,326,355,258,482,249
mask/Charles_1616423569.jpg,MASK,148,125,342,309,228,320,330,263
mask/Charles_1616423596.jpg,MASK,256,49,369,305,401,177,514,195
mask/Charles_1616423582.jpg,MASK,272,80,373,303,362,249,483,260
mask/Charles_1616423757.jpg,MASK,189,63,359,321,310,200,410,200
mask/Charles_1616423794.jpg,MASK,197,54,345,266,282,197,368,195
mask/Charles_1616423780.jpg,MASK,228,55,335,283,401,188,424,195
mask/Charles_1616423784.jpg,MASK,202,61,371,294,278,229,379,226
mask/Charles_1616423790.jpg,MASK,60,91,294,314,136,218,234,165
mask/Charles_1616423586.jpg,MASK,170,77,357,308,257,243,366,195
mask/Charles_1616423592.jpg,MASK,186,45,422,356,293,233,415,205
mask/Charles_1616423627.jpg,MASK,274,25,429,300,372,212,492,234
mask/Charles_1616423626.jpg,MASK,264,36,390,280,335,189,468,203
mask/Charles_1616423578.jpg,MASK,248,89,342,295,315,201,409,186
mask/Charles_1616423593.jpg,MASK,268,43,401,315,417,184,533,218
mask/Charles_1616423587.jpg,MASK,245,44,348,350,419,194,519,201
mask/Charles_1616423791.jpg,MASK,127,74,351,249,220,210,333,218
mask/Charles_1616423585.jpg,MASK,158,109,348,325,259,302,355,247
mask/Charles_1616423618.jpg,MASK,250,53,398,262,312,251,442,261
mask/Charles_1616423624.jpg,MASK,204,44,429,298,296,232,438,232
mask/Charles_1616423625.jpg,MASK,232,41,404,320,324,166,448,188
mask/Charles_1616423619.jpg,MASK,246,70,396,303,384,246,493,250
mask/Charles_1616423590.jpg,MASK,112,70,395,377,211,291,330,226
mask/Charles_1616423779.jpg,MASK,242,62,368,284,342,195,450,202
mask/Charles_1616423786.jpg,MASK,209,76,328,261,289,202,391,208
mask/Charles_1616423792.jpg,MASK,161,4,447,318,250,203,385,212
mask/Charles_1616424313.jpg,MASK,245,15,428,305,337,260,458,256
mask/Charles_1616424139.jpg,MASK,96,19,369,331,213,199,317,164
mask/Charles_1616424138.jpg,MASK,257,52,367,306,381,248,482,231
mask/Charles_1616423640.jpg,MASK,236,45,413,304,317,234,439,237
mask/Charles_1616423654.jpg,MASK,198,46,422,338,248,214,341,218
mask/Charles_1616424315.jpg,MASK,207,12,367,325,397,155,437,155
mask/Charles_1616424314.jpg,MASK,212,22,397,313,327,217,445,189
mask/Charles_1616424316.jpg,MASK,215,53,352,302,349,197,425,195
mask/Charles_1616423653.jpg,MASK,248,39,429,285,328,213,457,222
mask/Charles_1616423652.jpg,MASK,231,41,435,300,327,311,472,310
mask/Charles_1616424129.jpg,MASK,201,10,398,307,311,177,431,182
no_mask/Charles_1616424087.jpg,NO_MASK,150,20,278,236,246,141,320,155
no_mask/Charles_1616424093.jpg,NO_MASK,93,11,357,299,234,216,292,207
no_mask/Charles_1616424078.jpg,NO_MASK,146,4,349,221,222,163,310,169
no_mask/Charles_1616423065.jpg,NO_MASK,261,76,306,286,385,158,466,169
no_mask/Charles_1616424284.jpg,NO_MASK,219,0,380,340,329,128,451,121
no_mask/Charles_1616424092.jpg,NO_MASK,124,13,295,271,246,168,335,146
no_mask/Charles_1616424084.jpg,NO_MASK,142,12,303,248,275,165,347,170
no_mask/Charles_1616424278.jpg,NO_MASK,245,5,400,359,425,151,524,156
no_mask/Charles_1616424085.jpg,NO_MASK,154,22,180,125,254,194,339,206
no_mask/Charles_1616424269.jpg,NO_MASK,248,0,442,348,400,207,513,193
no_mask/Charles_1616423062.jpg,NO_MASK,246,69,341,237,348,250,437,256
no_mask/Charles_1616424080.jpg,NO_MASK,117,11,334,253,208,189,296,171
no_mask/Charles_1616424082.jpg,NO_MASK,122,8,325,250,213,162,309,162
no_mask/Charles_1616424096.jpg,NO_MASK,234,42,322,241,382,225,411,234
no_mask/Charles_1616424280.jpg,NO_MASK,199,2,402,398,381,206,517,193
no_mask/Charles_1616424097.jpg,NO_MASK,182,31,301,251,274,191,369,169
no_mask/Charles_1616423402.jpg,NO_MASK,177,58,367,255,270,245,372,250
no_mask/Charles_1616423358.jpg,NO_MASK,274,52,400,276,347,251,472,249
no_mask/Charles_1616423827.jpg,NO_MASK,219,20,332,260,300,158,407,162
no_mask/Charles_1616423833.jpg,NO_MASK,215,15,173,204,369,127,478,142
no_mask/Charles_1616423371.jpg,NO_MASK,342,68,405,292,518,277,611,289
no_mask/Charles_1616423365.jpg,NO_MASK,254,40,415,309,395,219,314,196
no_mask/Charles_1616423403.jpg,NO_MASK,183,70,390,256,267,282,380,280
no_mask/Charles_1616423007.jpg,NO_MASK,233,77,279,224,314,216,418,213
no_mask/Charles_1616423013.jpg,NO_MASK,278,59,360,256,385,223,484,232
no_mask/Charles_1616423398.jpg,NO_MASK,191,68,334,274,299,195,406,228
no_mask/Charles_1616423401.jpg,NO_MASK,173,68,332,257,275,180,378,198
