image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/ibrahim_1616415576.jpg,MASK,247,111,242,174,287,219,364,213
mask/ibrahim_1616415577.jpg,MASK,245,112,236,170,285,215,361,212
mask/ibrahim_1616415578.jpg,MASK,279,107,239,153,316,209,389,210
mask/ibrahim_1616415579.jpg,MASK,272,112,228,164,308,218,382,211
mask/ibrahim_1616415581.jpg,MASK,234,111,238,154,276,219,349,217
mask/ibrahim_1616415790.jpg,MASK,229,104,245,169,279,210,356,210
mask/ibrahim_1616415791.jpg,MASK,275,100,231,154,311,198,386,197
mask/ibrahim_1616415792.jpg,MASK,316,68,256,177,353,179,440,179
mask/ibrahim_1616415793.jpg,MASK,198,109,220,159,237,210,315,195
mask/ibrahim_1616415794.jpg,MASK,254,122,242,175,297,235,380,231
mask/ibrahim_1616415795.jpg,MASK,303,91,275,171,344,216,431,226
mask/ibrahim_1616415796.jpg,MASK,220,125,244,166,254,240,324,227
mask/ibrahim_1616415797.jpg,MASK,236,85,269,184,285,209,371,205
mask/ibrahim_1616415798.jpg,MASK,161,67,287,193,190,193,278,182
mask/ibrahim_1616415799.jpg,MASK,119,77,269,199,160,205,236,185
mask/ibrahim_1616415800.jpg,MASK,359,69,258,182,414,170,491,193
mask/ibrahim_1616415801.jpg,MASK,247,79,242,158,280,178,358,182
mask/ibrahim_1616415802.jpg,MASK,156,24,285,205,197,162,287,146
mask/ibrahim_1616415803.jpg,MASK,276,92,240,158,313,196,387,197
mask/ibrahim_1616415804.jpg,MASK,361,165,193,137,408,236,472,245
mask/ibrahim_1616415805.jpg,MASK,405,138,208,146,453,217,523,231
mask/ibrahim_1616415817.jpg,MASK,174,88,271,181,219,205,289,193
mask/ibrahim_1616415818.jpg,MASK,172,42,323,224,226,186,321,177
mask/ibrahim_1616415819.jpg,MASK,355,80,267,173,405,194,472,203
mask/ibrahim_1616415820.jpg,MASK,199,108,235,168,243,208,311,194
mask/ibrahim_1616415821.jpg,MASK,128,69,273,204,185,189,260,169
mask/ibrahim_1616415822.jpg,MASK,288,52,301,182,325,181,419,178
mask/ibrahim_1616415823.jpg,MASK,275,159,197,144,316,236,372,233
mask/ibrahim_1616415824.jpg,MASK,272,135,201,149,318,223,375,224
mask/ibrahim_1616415832.jpg,MASK,204,93,243,181,252,199,321,191
mask/ibrahim_1616415833.jpg,MASK,338,32,300,194,384,155,472,168
mask/ibrahim_1616415834.jpg,MASK,221,101,244,167,264,208,333,200
mask/ibrahim_1616415835.jpg,MASK,391,100,253,160,432,197,505,193
mask/ibrahim_1616415836.jpg,MASK,263,112,220,144,312,202,374,211
mask/ibrahim_1616415837.jpg,MASK,252,110,238,159,277,216,321,203
mask/ibrahim_1616415838.jpg,MASK,334,108,235,126,361,201,428,206
mask/ibrahim_1616415839.jpg,MASK,231,110,227,173,331,197,379,203
mask/ibrahim_1616415842.jpg,MASK,237,104,229,159,274,202,334,201
mask/ibrahim_1616415843.jpg,MASK,139,96,238,191,155,187,204,174
mask/ibrahim_1616415844.jpg,MASK,254,60,263,173,317,190,393,190
mask/ibrahim_1616415845.jpg,MASK,310,117,207,155,402,202,450,204
mask/ibrahim_1616415846.jpg,MASK,315,98,249,169,347,223,418,227
mask/ibrahim_1616415847.jpg,MASK,286,110,228,162,312,219,378,213
mask/ibrahim_1616415848.jpg,MASK,265,112,249,161,303,246,385,247
mask/ibrahim_1616415849.jpg,MASK,288,110,204,152,322,178,401,187
mask/ibrahim_1616415850.jpg,MASK,274,112,248,156,290,227,360,211
mask/ibrahim_1616415851.jpg,MASK,262,126,232,145,289,248,359,251
mask/ibrahim_1616415852.jpg,MASK,257,122,213,141,288,210,359,210
mask/ibrahim_1616415853.jpg,MASK,258,94,226,164,299,191,375,176
mask/ibrahim_1616415854.jpg,MASK,204,62,287,190,252,216,335,208
mask/ibrahim_1616415855.jpg,MASK,283,160,189,126,314,237,370,236
mask/ibrahim_1616415856.jpg,MASK,170,149,188,143,213,224,281,224
mask/ibrahim_1616415857.jpg,MASK,298,61,264,168,337,173,416,176
mask/ibrahim_1616415858.jpg,MASK,243,36,278,201,276,176,356,148
mask/ibrahim_1616415859.jpg,MASK,389,50,286,197,429,156,515,174
mask/ibrahim_1616415860.jpg,MASK,216,79,228,190,307,187,374,174
mask/ibrahim_1616415861.jpg,MASK,280,28,293,179,323,162,406,171
mask/ibrahim_1616415862.jpg,MASK,320,80,273,172,355,205,430,208
mask/ibrahim_1616415863.jpg,MASK,344,101,245,165,377,219,458,215
mask/ibrahim_1616415864.jpg,MASK,244,106,233,172,288,226,351,211
mask/ibrahim_1616415865.jpg,MASK,199,87,246,172,244,208,323,194
mask/ibrahim_1616415866.jpg,MASK,236,51,276,199,291,181,369,184
mask/ibrahim_1616415867.jpg,MASK,266,137,196,139,313,228,371,226
mask/ibrahim_1616415868.jpg,MASK,246,127,215,144,291,225,355,218
no_mask/ibrahim_1616416024.jpg,NO_MASK,194,80,273,173,232,215,312,203
no_mask/ibrahim_1616416025.jpg,NO_MASK,365,47,280,167,395,168,476,182
no_mask/ibrahim_1616416026.jpg,NO_MASK,145,108,198,182,204,202,280,186
no_mask/ibrahim_1616416027.jpg,NO_MASK,285,101,217,141,318,184,387,195
no_mask/ibrahim_1616416028.jpg,NO_MASK,317,86,249,152,359,165,429,195
no_mask/ibrahim_1616416029.jpg,NO_MASK,256,45,288,187,296,152,381,174
no_mask/ibrahim_1616416030.jpg,NO_MASK,275,87,243,205,381,177,431,188
no_mask/ibrahim_1616416031.jpg,NO_MASK,251,86,245,167,282,190,350,189
no_mask/ibrahim_1616416032.jpg,NO_MASK,264,56,298,213,315,181,401,192
no_mask/ibrahim_1616416033.jpg,NO_MASK,259,71,265,189,304,203,383,198
no_mask/ibrahim_1616416034.jpg,NO_MASK,264,100,229,172,315,201,385,211
no_mask/ibrahim_1616416035.jpg,NO_MASK,249,118,200,152,281,198,347,190
no_mask/ibrahim_1616416036.jpg,NO_MASK,204,32,273,194,257,148,345,146
no_mask/ibrahim_1616416037.jpg,NO_MASK,219,115,212,167,260,221,330,213
no_mask/ibrahim_1616416038.jpg,NO_MASK,214,146,190,156,263,222,325,234
no_mask/ibrahim_1616416039.jpg,NO_MASK,266,77,244,176,306,184,383,179
no_mask/ibrahim_1616416040.jpg,NO_MASK,237,31,290,196,287,169,369,165
no_mask/ibrahim_1616416041.jpg,NO_MASK,211,131,219,169,259,237,315,221
no_mask/ibrahim_1616416042.jpg,NO_MASK,247,61,302,183,287,174,367,186
no_mask/ibrahim_1616416043.jpg,NO_MASK,275,92,245,157,313,205,388,210
no_mask/ibrahim_1616416044.jpg,NO_MASK,189,136,210,182,259,225,313,225
no_mask/ibrahim_1616416045.jpg,NO_MASK,337,88,276,179,386,186,464,197
no_mask/ibrahim_1616416046.jpg,NO_MASK,193,91,253,217,271,206,341,199
no_mask/ibrahim_1616416047.jpg,NO_MASK,259,104,237,178,323,189,392,195
no_mask/ibrahim_1616416048.jpg,NO_MASK,245,143,182,149,276,202,338,198
