image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/javi_1615938358.jpg,MASK,101,21,409,253,212,190,314,196
mask/javi_1615938297.jpg,MASK,165,60,365,239,186,223,255,203
mask/javi_1615938363.jpg,MASK,100,23,417,246,157,206,264,194
mask/javi_1615938295.jpg,MASK,181,22,374,223,261,178,352,177
mask/javi_1615938374.jpg,MASK,97,29,397,339,306,174,397,172
mask/javi_1615938369.jpg,MASK,241,55,395,264,272,241,359,228
no_mask/javi_1615938408.jpg,NO_MASK,222,42,339,220,272,209,355,194
no_mask/javi_1615938419.jpg,NO_MASK,181,55,405,241,246,246,352,231
no_mask/javi_1615938421.jpg,NO_MASK,135,67,344,266,282,213,370,221
no_mask/javi_1615938407.jpg,NO_MASK,225,48,335,246,248,223,316,191
no_mask/javi_1615938429.jpg,NO_MASK,227,39,402,259,294,243,399,248
no_mask/javi_1615938416.jpg,NO_MASK,218,55,338,205,259,212,352,198
no_mask/javi_1615938434.jpg,NO_MASK,160,3,450,272,250,218,349,216
bad_mask/javi_1615938499.jpg,BAD_MASK,235,53,303,207,258,196,323,191
bad_mask/javi_1615938483.jpg,BAD_MASK,182,26,399,232,213,198,300,191
bad_mask/javi_1615938484.jpg,BAD_MASK,140,30,381,266,311,180,380,188
bad_mask/javi_1615938482.jpg,BAD_MASK,190,24,404,222,250,200,348,190
bad_mask/javi_1615938498.jpg,BAD_MASK,228,34,356,216,448,377,389,203
bad_mask/javi_1615938508.jpg,BAD_MASK,222,31,341,227,262,196,343,185
bad_mask/javi_1615938520.jpg,BAD_MASK,207,58,350,244,244,225,317,222
bad_mask/javi_1615938479.jpg,BAD_MASK,150,12,400,259,262,169,357,163
bad_mask/javi_1615938474.jpg,BAD_MASK,146,1,394,273,259,153,370,146
bad_mask/javi_1615938486.jpg,BAD_MASK,207,61,377,200,256,232,356,230
bad_mask/javi_1615938509.jpg,BAD_MASK,157,39,342,238,252,209,344,188
bad_mask/javi_1615938522.jpg,BAD_MASK,248,47,318,209,266,201,347,179
bad_mask/javi_1615938518.jpg,BAD_MASK,152,40,349,234,243,207,342,209
bad_mask/javi_1615938473.jpg,BAD_MASK,261,77,377,236,294,253,378,228
bad_mask/javi_1615938521.jpg,BAD_MASK,238,61,312,198,291,207,372,203
