image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/joby_1616408318.jpg,MASK,255,224,148,102,286,284,332,281
mask/joby_1616408244.jpg,MASK,342,222,159,107,375,284,424,290
mask/joby_1616408250.jpg,MASK,287,217,142,103,315,273,359,270
mask/joby_1616408245.jpg,MASK,264,189,155,112,293,249,340,250
mask/joby_1616408319.jpg,MASK,337,203,160,106,372,264,417,277
mask/joby_1616408253.jpg,MASK,162,243,144,124,201,305,246,291
mask/joby_1616408247.jpg,MASK,291,180,178,120,330,258,378,258
mask/joby_1616408246.jpg,MASK,302,170,169,129,340,245,391,245
mask/joby_1616408252.jpg,MASK,333,254,159,119,386,320,428,316
mask/joby_1616408256.jpg,MASK,268,182,157,118,310,237,351,236
mask/joby_1616408242.jpg,MASK,250,192,174,124,294,271,339,271
mask/joby_1616408243.jpg,MASK,292,190,153,108,326,256,366,252
mask/joby_1616408257.jpg,MASK,222,174,192,127,282,258,316,260
mask/joby_1616408321.jpg,MASK,270,176,184,131,316,256,361,259
mask/joby_1616408241.jpg,MASK,312,190,174,113,364,265,402,269
mask/joby_1616408255.jpg,MASK,300,233,185,131,368,332,400,337
mask/joby_1616408254.jpg,MASK,169,198,151,125,226,259,265,250
mask/joby_1616408240.jpg,MASK,274,173,175,129,314,254,363,253
mask/joby_1616408320.jpg,MASK,260,162,182,133,299,247,344,245
mask/joby_1616408239.jpg,MASK,306,186,176,117,352,265,392,265
mask/joby_1616408265.jpg,MASK,396,177,204,128,447,262,486,282
mask/joby_1616408271.jpg,MASK,225,183,178,124,277,261,319,259
mask/joby_1616408259.jpg,MASK,240,187,171,120,288,263,332,261
mask/joby_1616408258.jpg,MASK,424,173,197,118,470,250,511,263
mask/joby_1616408270.jpg,MASK,223,185,179,115,266,258,310,258
mask/joby_1616408264.jpg,MASK,345,160,169,115,383,227,430,229
mask/joby_1616408272.jpg,MASK,248,190,158,114,294,266,329,264
mask/joby_1616408266.jpg,MASK,345,166,185,119,385,250,435,258
mask/joby_1616408313.jpg,MASK,216,189,162,125,247,262,287,256
mask/joby_1616408317.jpg,MASK,264,194,141,110,302,249,345,249
mask/joby_1616408263.jpg,MASK,308,179,180,124,344,256,396,261
mask/joby_1616408262.jpg,MASK,287,183,161,116,326,250,371,248
