image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/kim_1616409545.jpg,MASK,290,119,277,200,349,207,440,232
mask/kim_1616413626.jpg,MASK,292,29,243,167,348,137,420,148
mask/kim_1616410215.jpg,MASK,211,1,282,395,356,8,511,12
mask/kim_1616413804.jpg,MASK,176,0,234,240,249,49,343,49
mask/kim_1616409525.jpg,MASK,284,35,278,234,369,128,462,148
mask/kim_1616413831.jpg,MASK,463,155,231,176,523,260,598,269
mask/kim_1616413783.jpg,MASK,116,0,465,516,270,79,518,97
mask/kim_1616410251.jpg,MASK,41,1,412,586,184,28,436,29
mask/kim_1616409322.jpg,MASK,355,104,226,164,396,185,478,199
mask/kim_1616410599.jpg,MASK,160,1,477,480,309,182,553,206
mask/kim_1616410126.jpg,MASK,285,152,228,172,333,230,408,240
mask/kim_1616409586.jpg,MASK,232,38,260,210,303,145,383,146
mask/kim_1616409645.jpg,MASK,187,24,266,242,234,134,306,134
mask/kim_1616410115.jpg,MASK,318,252,182,191,470,313,472,313
mask/kim_1616409537.jpg,MASK,145,2,327,268,219,122,333,133
mask/kim_1616410602.jpg,MASK,421,171,292,213,488,290,573,301
mask/kim_1616413766.jpg,MASK,262,162,332,273,348,322,452,326
mask/kim_1616409246.jpg,MASK,310,62,311,242,401,198,486,203
mask/kim_1616413779.jpg,MASK,355,1,292,287,466,48,586,72
mask/kim_1616410206.jpg,MASK,260,4,248,231,368,87,442,100
mask/kim_1616409410.jpg,MASK,274,247,189,200,339,266,374,269
mask/kim_1616409292.jpg,MASK,346,33,322,272,441,124,568,135
mask/kim_1616413794.jpg,MASK,0,1,296,279,63,110,172,91
mask/kim_1616410210.jpg,MASK,293,160,164,135,328,207,389,210
mask/kim_1616413567.jpg,MASK,268,330,152,162,320,384,378,386
mask/kim_1616413810.jpg,MASK,331,1,251,300,444,40,567,47
mask/kim_1616410593.jpg,MASK,279,210,232,193,328,287,405,287
mask/kim_1616410258.jpg,MASK,3,2,437,630,62,60,238,42
mask/kim_1616409589.jpg,MASK,261,47,231,234,414,125,468,134
mask/kim_1616413789.jpg,MASK,411,79,248,194,545,196,584,196
