image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/luca_1616408746.jpg,MASK,262,46,253,210,338,144,412,140
mask/luca_1616408748.jpg,MASK,247,63,243,224,296,154,357,138
mask/luca_1616408750.jpg,MASK,222,75,241,246,257,183,317,158
mask/luca_1616408751.jpg,MASK,273,67,249,230,396,155,462,164
mask/luca_1616408752.jpg,MASK,274,79,224,239,432,130,474,140
mask/luca_1616408753.jpg,MASK,286,74,200,194,370,122,442,126
mask/luca_1616408754.jpg,MASK,274,75,199,203,317,127,378,119
mask/luca_1616408755.jpg,MASK,219,65,232,249,263,138,304,131
mask/luca_1616408756.jpg,MASK,179,72,272,279,210,216,237,196
mask/luca_1616408757.jpg,MASK,262,41,313,231,369,204,443,203
mask/luca_1616408758.jpg,MASK,329,54,314,240,521,207,552,229
mask/luca_1616408778.jpg,MASK,219,58,315,224,300,176,385,179
mask/luca_1616408779.jpg,MASK,193,77,302,255,234,193,315,177
mask/luca_1616408780.jpg,MASK,243,80,293,252,384,179,462,188
mask/luca_1616408781.jpg,MASK,256,65,251,215,347,146,429,143
mask/luca_1616408782.jpg,MASK,228,93,235,238,269,172,347,156
mask/luca_1616408784.jpg,MASK,252,73,319,227,318,209,403,207
mask/luca_1616408785.jpg,MASK,260,74,331,275,421,223,485,223
mask/luca_1616408790.jpg,MASK,242,14,318,222,305,139,390,143
mask/luca_1616408795.jpg,MASK,204,2,154,247,243,12,356,12
mask/luca_1616408807.jpg,MASK,259,155,194,164,319,231,372,233
mask/luca_1616408808.jpg,MASK,245,170,184,167,278,238,324,229
mask/luca_1616408809.jpg,MASK,266,171,182,172,364,235,406,240
mask/luca_1616408810.jpg,MASK,265,178,142,151,334,217,386,220
mask/luca_1616408811.jpg,MASK,258,149,220,163,300,256,354,253
mask/luca_1616408812.jpg,MASK,213,159,205,207,238,269,264,257
mask/luca_1616408816.jpg,MASK,270,50,141,154,317,103,369,97
mask/luca_1616408818.jpg,MASK,276,39,198,165,343,129,395,129
mask/luca_1616408819.jpg,MASK,316,22,212,178,427,101,470,108
mask/luca_1616408854.jpg,MASK,228,14,376,272,314,151,423,153
mask/luca_1616408855.jpg,MASK,205,15,368,302,238,173,326,139
mask/luca_1616408856.jpg,MASK,269,16,407,330,445,148,546,172
mask/luca_1616408858.jpg,MASK,215,9,345,321,274,121,354,102
mask/luca_1616408859.jpg,MASK,165,11,361,344,218,174,290,156
mask/luca_1616408860.jpg,MASK,247,11,384,314,377,144,491,156
mask/luca_1616408861.jpg,MASK,271,20,400,355,539,183,590,215
mask/luca_1616408873.jpg,MASK,236,63,284,214,310,176,386,177
