image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/marcin_1616416748.jpg,MASK,285,85,359,250,379,241,462,251
mask/marcin_1616416727.jpg,MASK,329,8,451,313,465,209,585,231
mask/marcin_1616416692.jpg,MASK,167,160,164,158,211,199,279,193
mask/marcin_1616416777.jpg,MASK,183,84,291,208,227,224,302,223
mask/marcin_1616416789.jpg,MASK,145,151,192,154,226,228,269,247
mask/marcin_1616416786.jpg,MASK,1,58,357,251,49,229,135,219
mask/marcin_1616416687.jpg,MASK,237,6,346,261,320,153,423,170
mask/marcin_1616416712.jpg,MASK,180,89,311,272,310,206,232,241
mask/marcin_1616416764.jpg,MASK,64,100,329,310,160,257,243,233
mask/marcin_1616416804.jpg,MASK,287,25,366,261,382,193,465,218
mask/marcin_1616416682.jpg,MASK,182,10,295,230,256,133,323,142
mask/marcin_1616416774.jpg,MASK,227,140,260,245,416,257,427,257
mask/marcin_1616416677.jpg,MASK,237,151,255,202,308,267,380,270
mask/marcin_1616416795.jpg,MASK,133,75,261,202,202,210,275,205
mask/marcin_1616416776.jpg,MASK,165,114,277,198,215,240,290,241
mask/marcin_1616416666.jpg,MASK,197,73,299,220,257,214,333,219
mask/marcin_1616416778.jpg,MASK,236,136,246,185,275,248,332,249
mask/marcin_1616416792.jpg,MASK,135,152,240,165,199,303,243,311
mask/marcin_1616416707.jpg,MASK,262,166,278,229,320,288,403,275
mask/marcin_1616416722.jpg,MASK,396,88,343,234,453,244,551,264
mask/marcin_1616416701.jpg,MASK,136,132,398,305,210,301,304,290
mask/marcin_1616416790.jpg,MASK,158,265,214,153,218,370,265,381
mask/marcin_1616416779.jpg,MASK,239,64,273,194,282,182,360,194
mask/marcin_1616416676.jpg,MASK,231,157,256,193,279,270,346,266
mask/marcin_1616416767.jpg,MASK,48,151,284,212,109,295,190,290
mask/marcin_1616416788.jpg,MASK,9,170,213,167,75,248,133,255
mask/marcin_1616416668.jpg,MASK,173,125,269,255,246,236,197,242
mask/marcin_1616416710.jpg,MASK,129,56,385,308,183,239,288,197
mask/marcin_1616416720.jpg,MASK,310,8,366,297,390,141,512,152
mask/marcin_1616416726.jpg,MASK,306,43,381,280,420,217,523,217
mask/marcin_1616416706.jpg,MASK,251,25,438,307,331,224,489,225
mask/marcin_1616416694.jpg,MASK,181,100,249,175,215,217,266,242
mask/marcin_1616416690.jpg,MASK,113,126,206,185,171,221,243,221
mask/marcin_1616416672.jpg,MASK,210,161,305,219,291,347,367,340
mask/marcin_1616416705.jpg,MASK,186,115,253,228,242,224,323,213
mask/marcin_1616416670.jpg,MASK,165,189,255,279,335,322,394,300
mask/marcin_1616416703.jpg,MASK,234,19,400,288,522,419,310,189
mask/marcin_1616416725.jpg,MASK,411,5,385,232,499,186,613,199
mask/marcin_1616416766.jpg,MASK,181,97,281,225,250,229,322,227
mask/marcin_1616416664.jpg,MASK,191,41,326,253,266,198,347,194
mask/marcin_1616416798.jpg,MASK,195,35,292,222,268,175,345,179
mask/marcin_1616416771.jpg,MASK,117,156,247,178,168,277,236,271
mask/marcin_1616416663.jpg,MASK,205,8,243,203,269,118,333,119
mask/marcin_1616416691.jpg,MASK,176,123,207,185,260,197,312,219
mask/marcin_1616416683.jpg,MASK,255,9,46,37,365,120,380,120
mask/marcin_1616416688.jpg,MASK,262,25,347,269,361,186,455,189
mask/marcin_1616416749.jpg,MASK,114,107,337,268,177,264,266,257
mask/marcin_1616416793.jpg,MASK,22,71,261,197,97,216,172,221
mask/marcin_1616416671.jpg,MASK,217,146,235,206,315,226,376,235
mask/marcin_1616416669.jpg,MASK,179,139,246,253,297,244,366,242
mask/marcin_1616416667.jpg,MASK,139,99,294,216,355,393,188,250
mask/marcin_1616416693.jpg,MASK,155,120,194,180,242,198,297,213
mask/marcin_1616416709.jpg,MASK,171,99,374,321,249,297,341,277
mask/marcin_1616416708.jpg,MASK,282,58,416,270,347,273,456,275
mask/marcin_1616416750.jpg,MASK,135,24,406,250,178,220,307,217
mask/marcin_1616416675.jpg,MASK,318,94,279,198,403,217,469,239
mask/marcin_1616416695.jpg,MASK,152,112,199,174,203,199,266,189
