image,class,bbox_x,bbox_y,bbox_w,bbox_h,kp1_x,kp1_y,kp2_x,kp2_y
mask/sai_1616408489.jpg,MASK,294,187,180,167,354,267,402,260
mask/sai_1616408490.jpg,MASK,265,165,200,207,348,259,405,258
mask/sai_1616408507.jpg,MASK,294,169,209,182,356,266,416,259
mask/sai_1616408509.jpg,MASK,302,187,180,212,448,255,468,251
mask/sai_1616408511.jpg,MASK,281,171,186,221,408,230,447,233
mask/sai_1616408512.jpg,MASK,284,157,196,187,357,237,412,231
mask/sai_1616408513.jpg,MASK,274,179,157,181,330,233,380,225
mask/sai_1616408514.jpg,MASK,252,184,177,196,287,249,318,243
mask/sai_1616408516.jpg,MASK,214,178,207,226,263,284,294,281
mask/sai_1616408517.jpg,MASK,242,210,175,197,291,310,342,309
mask/sai_1616408518.jpg,MASK,301,181,214,213,422,307,464,299
mask/sai_1616408519.jpg,MASK,272,181,221,205,343,317,414,316
mask/sai_1616408520.jpg,MASK,266,157,202,220,340,257,395,251
mask/sai_1616408525.jpg,MASK,289,94,300,241,376,251,461,250
mask/sai_1616408543.jpg,MASK,299,188,176,150,352,275,398,271
mask/sai_1616408545.jpg,MASK,304,207,156,134,352,271,393,275
mask/sai_1616408546.jpg,MASK,316,217,131,144,415,261,432,260
mask/sai_1616408548.jpg,MASK,334,213,144,152,437,272,450,271
mask/sai_1616408549.jpg,MASK,296,213,138,164,401,251,416,251
mask/sai_1616408550.jpg,MASK,296,201,153,151,330,259,355,253
mask/sai_1616408551.jpg,MASK,270,210,134,148,300,277,320,278
mask/sai_1616408553.jpg,MASK,256,229,150,169,290,304,306,304
mask/sai_1616408554.jpg,MASK,315,212,159,153,371,297,421,295
mask/sai_1616408555.jpg,MASK,304,195,170,156,354,272,397,267
mask/sai_1616408564.jpg,MASK,295,207,155,156,351,274,394,267
mask/sai_1616408565.jpg,MASK,264,196,188,185,310,278,344,274
mask/sai_1616408567.jpg,MASK,246,199,170,189,286,275,308,272
mask/sai_1616408568.jpg,MASK,318,201,173,186,398,269,428,271
mask/sai_1616408569.jpg,MASK,343,208,160,169,454,280,468,279
mask/sai_1616408570.jpg,MASK,316,201,154,164,406,248,432,252
mask/sai_1616408572.jpg,MASK,277,205,173,177,319,259,338,257
