image,group,class,bbox_x,bbox_y,bbox_h,bbox_w,kp1_x,kp1_y,kp2_x,kp2_y
Aderemi/mask/Aderemi_1616416380.jpg,Aderemi,MASK,176,86,0,0,221,191,330,201
Aderemi/mask/Aderemi_1616416343.jpg,Aderemi,MASK,228,110,0,0,341,230,415,245
Aderemi/mask/Aderemi_1616416357.jpg,Aderemi,MASK,222,148,0,0,297,198,373,225
Aderemi/mask/Aderemi_1616416356.jpg,Aderemi,MASK,208,141,0,0,304,199,378,217
Aderemi/mask/Aderemi_1616416342.jpg,Aderemi,MASK,234,114,0,0,336,215,336,215
Aderemi/mask/Aderemi_1616416395.jpg,Aderemi,MASK,360,103,0,0,420,159,494,214
Aderemi/mask/Aderemi_1616416381.jpg,Aderemi,MASK,238,110,0,0,300,216,408,231
Aderemi/mask/Aderemi_1616416397.jpg,Aderemi,MASK,381,97,0,0,436,162,523,221
Aderemi/mask/Aderemi_1616416383.jpg,Aderemi,MASK,224,132,0,0,292,244,410,257
Aderemi/mask/Aderemi_1616416354.jpg,Aderemi,MASK,240,140,0,0,391,230,421,232
Aderemi/mask/Aderemi_1616416340.jpg,Aderemi,MASK,276,122,0,0,368,216,437,239
Aderemi/mask/Aderemi_1616416368.jpg,Aderemi,MASK,231,82,0,0,295,250,419,264
Aderemi/mask/Aderemi_1616416341.jpg,Aderemi,MASK,253,114,0,0,347,222,422,241
Aderemi/mask/Aderemi_1616416355.jpg,Aderemi,MASK,241,136,0,0,316,207,392,222
Aderemi/mask/Aderemi_1616416396.jpg,Aderemi,MASK,373,100,0,0,438,167,518,221
Aderemi/mask/Aderemi_1616416392.jpg,Aderemi,MASK,252,94,0,0,308,171,404,186
Aderemi/mask/Aderemi_1616416379.jpg,Aderemi,MASK,137,70,0,0,191,204,296,205
Aderemi/mask/Aderemi_1616416351.jpg,Aderemi,MASK,277,124,0,0,385,225,435,231
Aderemi/mask/Aderemi_1616416344.jpg,Aderemi,MASK,241,127,0,0,311,219,394,238
Aderemi/mask/Aderemi_1616416350.jpg,Aderemi,MASK,272,127,0,0,391,237,433,246
Aderemi/mask/Aderemi_1616416378.jpg,Aderemi,MASK,159,76,0,0,193,207,288,201
Aderemi/mask/Aderemi_1616416393.jpg,Aderemi,MASK,268,110,0,0,332,180,422,200
Aderemi/mask/Aderemi_1616416385.jpg,Aderemi,MASK,202,180,0,0,288,352,404,348
Aderemi/mask/Aderemi_1616416391.jpg,Aderemi,MASK,227,88,0,0,289,201,399,207
Aderemi/mask/Aderemi_1616416408.jpg,Aderemi,MASK,214,83,0,0,271,213,380,248
Aderemi/mask/Aderemi_1616416346.jpg,Aderemi,MASK,188,101,0,0,235,221,343,232
Aderemi/mask/Aderemi_1616416352.jpg,Aderemi,MASK,261,128,0,0,375,232,423,230
Aderemi/mask/Aderemi_1616416353.jpg,Aderemi,MASK,272,149,0,0,372,222,424,231
Aderemi/mask/Aderemi_1616416347.jpg,Aderemi,MASK,178,108,0,0,222,222,327,222
Aderemi/mask/Aderemi_1616416384.jpg,Aderemi,MASK,212,150,0,0,307,303,422,311
Aderemi/mask/Aderemi_1616416334.jpg,Aderemi,MASK,251,93,0,0,294,183,384,225
Aderemi/mask/Aderemi_1616416268.jpg,Aderemi,MASK,265,190,0,0,342,302,423,308
Aderemi/mask/Aderemi_1616416296.jpg,Aderemi,MASK,237,139,0,0,299,251,402,261
Aderemi/mask/Aderemi_1616416309.jpg,Aderemi,MASK,192,140,0,0,273,263,368,271
Aderemi/mask/Aderemi_1616416335.jpg,Aderemi,MASK,228,102,0,0,298,210,392,237
Aderemi/mask/Aderemi_1616416337.jpg,Aderemi,MASK,166,96,0,0,197,205,274,220
Aderemi/mask/Aderemi_1616416294.jpg,Aderemi,MASK,221,137,0,0,300,249,399,259
Aderemi/mask/Aderemi_1616416295.jpg,Aderemi,MASK,212,145,0,0,293,254,420,261
Aderemi/mask/Aderemi_1616416336.jpg,Aderemi,MASK,192,112,0,0,261,259,367,284
Aderemi/mask/Aderemi_1616416332.jpg,Aderemi,MASK,203,97,0,0,271,200,373,216
